"cama_id" "variedad" "fecha_siembra" "fecha_corte_proyectada" "dias_faltantes" "gdc_acumulado" "porcentaje_madurez" "tallos_totales" "rendimiento_planta" "probabilidad_calidad" "diagnostico"
"1" "CAMA-001" "ACHILLEA" "2024-06-17" "2024-09-30" 0 1056.16 100 25895 2.45 0.969 "EXPORTABLE"
"2" "CAMA-057" "ACHILLEA" "2025-09-08" "2025-12-28" 6 969.97 95.4 6224 1.07 0.9967 "EXPORTABLE"
"3" "CAMA-058" "ACHILLEA" "2025-09-15" "2026-01-05" 7 957.85 94.2 6603 1 0.9937 "EXPORTABLE"
"4" "CAMA-117" "AGERATHUM" "2025-09-15" "2025-12-21" 6 834.11 94.4 14252 3.78 0.9846 "EXPORTABLE"
"5" "CAMA-118" "AGERATHUM" "2025-09-22" "2025-12-28" 6 832.5 94.2 14319 3.39 0.988 "EXPORTABLE"
"6" "CAMA-119" "AGERATHUM" "2025-09-29" "2026-01-05" 7 822.39 93.1 14273 3.19 0.9907 "EXPORTABLE"
"7" "CAMA-120" "AMMI MAJUS" "2024-06-17" "2024-09-30" 0 1056.16 100 4226 2.54 0.9811 "EXPORTABLE"
"8" "CAMA-194" "AMMI MAJUS" "2025-09-15" "2026-01-03" 5 957.85 95.5 13389 1.59 0.8642 "EXPORTABLE"
"9" "CAMA-195" "ASTEE" "2024-06-17" "2024-10-21" 0 1258.39 100 24716 1.87 0.9242 "EXPORTABLE"
"10" "CAMA-248" "ASTEE" "2025-08-25" "2026-01-04" 6 1167.24 95.6 15015 1.22 0.9439 "EXPORTABLE"
"11" "CAMA-249" "BUPLEURUM" "2024-06-17" "2024-09-03" 1 759.91 99.2 13167 0.96 0.8692 "EXPORTABLE"
"12" "CAMA-250" "BUPLEURUM" "2024-06-24" "2024-09-09" 0 770.63 100 15608 0.9 0.8857 "EXPORTABLE"
"13" "CAMA-274" "BUPLEURUM" "2025-02-03" "2025-04-28" 7 707.13 92.3 36039 0.59 0.6583 "RIESGO_MERMA"
"14" "CAMA-275" "BUPLEURUM" "2025-02-10" "2025-05-05" 7 707.38 92.4 27153 0.66 0.68 "RIESGO_MERMA"
"15" "CAMA-276" "CHRYSANTHEMUMS SPRAY" "2025-02-17" "2025-05-09" 4 709.92 95.2 8665 0.81 0.9416 "EXPORTABLE"
"16" "CAMA-463" "DIANTHUS" "2025-09-08" "2025-12-22" 0 969.97 100 26694 2.36 0.6251 "RIESGO_MERMA"
"17" "CAMA-464" "DIANTHUS" "2025-09-15" "2025-12-29" 0 957.85 100 25670 2.24 0.6964 "RIESGO_MERMA"
"18" "CAMA-465" "GYPSOPHILA" "2024-07-15" "2024-10-28" 0 1061.9 100 39221 2.71 0.9948 "EXPORTABLE"
"19" "CAMA-466" "GYPSOPHILA" "2024-07-22" "2024-11-04" 0 1056.23 100 22375 3.54 0.997 "EXPORTABLE"
"20" "CAMA-509" "GYPSOPHILA" "2025-07-14" "2025-10-29" 2 1002.25 99 21256 2.53 0.9947 "EXPORTABLE"
"21" "CAMA-519" "HEBE" "2024-07-01" "2025-01-06" 0 1843.73 100 48501 5.2 0.9158 "EXPORTABLE"
"22" "CAMA-520" "HEBE" "2024-07-08" "2025-01-13" 0 1842.71 100 48828 5.38 0.8798 "EXPORTABLE"
"23" "CAMA-563" "HEBE" "2025-06-30" "2026-01-05" 7 1699.13 96.7 32427 5.02 0.8962 "EXPORTABLE"
"24" "CAMA-564" "HELICHRYSUM" "2024-06-17" "2024-09-30" 0 1056.16 100 16204 1.76 0.2029 "RIESGO_MERMA"
"25" "CAMA-565" "HELICHRYSUM" "2024-07-01" "2024-10-14" 0 1058.25 100 14268 1.98 0.0741 "RIESGO_MERMA"
"26" "CAMA-593" "HELICHRYSUM" "2025-09-08" "2025-12-28" 6 969.97 95.3 15397 1.38 0.078 "RIESGO_MERMA"
"27" "CAMA-594" "KALE" "2024-06-17" "2024-09-23" 0 988.45 100 12951 0.62 0.9868 "EXPORTABLE"
"28" "CAMA-652" "KALE" "2025-09-15" "2025-12-28" 6 897.25 94.4 3985 0.29 0.9293 "EXPORTABLE"
"29" "CAMA-653" "KALE" "2025-09-22" "2026-01-05" 7 893.1 94 4260 0.3 0.9433 "EXPORTABLE"
"30" "CAMA-654" "SENECIO CINERARIA" "2024-06-10" "2024-11-04" 0 1460.47 100 57292 4.74 0.9446 "EXPORTABLE"
"31" "CAMA-706" "SENECIO CINERARIA" "2025-07-28" "2025-12-28" 6 1367.03 96.1 58305 4.24 0.8551 "EXPORTABLE"
"32" "CAMA-707" "SENECIO CINERARIA" "2025-08-04" "2026-01-05" 7 1357.92 95.5 57732 4.21 0.8682 "EXPORTABLE"
"33" "CAMA-708" "SOLIDAGO" "2024-06-24" "2024-09-23" 0 922.63 100 18741 1.64 0.8094 "EXPORTABLE"
"34" "CAMA-765" "SOLIDAGO" "2025-09-15" "2025-12-21" 6 834.11 94.5 10637 1.04 0.6992 "RIESGO_MERMA"
"35" "CAMA-766" "SOLIDAGO" "2025-09-22" "2025-12-28" 6 832.5 94.3 12103 1.31 0.4223 "RIESGO_MERMA"
"36" "CAMA-836" "SUNFLOWER" "2024-06-10" "2024-08-05" 0 551.06 100 10356 0.63 0.8396 "EXPORTABLE"
"37" "CAMA-903" "TRACHELIUM" "2024-07-15" "2024-10-14" 0 922.42 100 4427 0.89 0.9795 "EXPORTABLE"
"38" "CAMA-958" "VERONICA" "2024-09-16" "2025-01-27" 0 1244.67 100 22141 2.11 0.6056 "RIESGO_MERMA"
"39" "CAMA-959" "VERONICA" "2024-10-14" "2025-02-24" 0 1224.43 100 6367 2.07 0.5908 "RIESGO_MERMA"
"40" "CAMA-960" "TRACHELIUM" "2024-07-15" "2025-03-03" 0 2210.51 100 2744 8.91 0.7706 "EXPORTABLE"
