"cama_id","variedad","fecha_siembra","fecha_corte_proyectada","dias_faltantes","gdc_meta","gdc_acumulado","porcentaje_madurez","tallos_totales","rendimiento_planta","probabilidad_calidad","diagnostico_calidad","alerta_temprana"
"CAMA-001","ACHILLEA","2024-06-17","2024-09-30",0,1016.6,1065.39,100,26044,2.47,0.9655,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-057","ACHILLEA","2025-09-08","2025-12-22",0,1016.6,978.6,96.3,6168,1.06,0.9981,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-058","ACHILLEA","2025-09-15","2025-12-29",0,1016.6,966.92,95.1,6037,0.92,0.9964,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-117","AGERATHUM","2025-09-15","2025-12-15",0,883.5,843.33,95.5,13338,3.54,0.9842,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-118","AGERATHUM","2025-09-22","2025-12-22",0,883.5,841.14,95.2,14439,3.41,0.9855,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-119","AGERATHUM","2025-09-29","2025-12-29",0,883.5,831.46,94.1,15181,3.39,0.9922,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-120","AMMI MAJUS","2024-06-17","2024-09-30",0,1003.4,1065.39,100,4292,2.58,0.9817,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-194","AMMI MAJUS","2025-09-15","2025-12-29",0,1003.4,966.92,96.4,14469,1.71,0.8644,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-195","ASTEE","2024-06-17","2024-10-21",0,1220.9,1267.28,100,24863,1.88,0.9067,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-248","ASTEE","2025-08-25","2025-12-29",0,1220.9,1176.32,96.3,12800,1.04,0.9703,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-249","BUPLEURUM","2024-06-17","2024-09-02",0,765.9,770.25,100,12934,0.94,0.8704,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-250","BUPLEURUM","2024-06-24","2024-09-09",0,765.9,781.73,100,15455,0.89,0.8858,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-274","BUPLEURUM","2025-02-03","2025-04-21",0,765.9,716.58,93.6,32275,0.53,0.6739,"RIESGO_MERMA","Evaluación histórica / finalizada"
"CAMA-275","BUPLEURUM","2025-02-10","2025-04-28",0,765.9,715.96,93.5,26032,0.63,0.6204,"RIESGO_MERMA","Evaluación histórica / finalizada"
"CAMA-276","CHRYSANTHEMUMS SPRAY","2025-02-17","2025-05-05",0,745.4,718.91,96.4,7253,0.68,0.9318,"EXPORTABLE","Evaluación histórica / finalizada"
"CAMA-463","DIANTHUS","2025-09-08","2025-12-22",0,941,978.6,100,26859,2.37,0.6318,"RIESGO_MERMA","Evaluación histórica / finalizada"
"CAMA-464","DIANTHUS","2025-09-15","2025-12-29",0,941,966.92,100,26188,2.29,0.7085,"RIESGO_MERMA","Evaluación histórica / finalizada"
